id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38961489,Charming Clarksville Chateau Condo  with a Patio,756365,Christie,,78703,30.28157,-97.75561,Entire home/apt,199,2,13,2021-05-30,0.55,1,50,1,
38971413,Domain Twin bed Bedroom,9927636,Anna,,78758,30.38299,-97.70158,Private room,60,30,2,2021-09-08,0.09,4,17,1,
38972498,"ACL Paradise - hot tub, new deck, outdoor TV",1361708,Peter And Bridget,,78702,30.27338,-97.7082,Entire home/apt,1944,2,0,,,2,0,0,
38973235,Modern Master Bedroom Private Bath Central Austin,5870549,Lauren,,78751,30.31822,-97.71119,Private room,20,1,15,2021-01-01,0.68,2,0,3,
38974752,Modern Condo in East Austin near Downtown,68769810,Alejandro,,78741,30.22872,-97.71095,Entire home/apt,97,180,1,2020-03-18,0.05,1,138,0,
38978949,2_Home Sweet Home within Austin City Limits,267685091,Eltayib,,78753,30.34504,-97.69024,Private room,39,3,36,2021-06-18,1.53,4,29,9,
38979092,Beautiful New Austin Home,22046047,Barbara,,78724,30.26119,-97.58695,Entire home/apt,159,28,6,2021-05-11,0.25,4,288,3,
38979115,Lovely Austin Festival House,22046047,Barbara,,78724,30.2601,-97.58794,Entire home/apt,325,30,0,,,4,0,0,
38980627,Heart of Austin,78715459,Alisha,,78704,30.26368,-97.75918,Entire home/apt,179,1,0,,,1,0,0,
38980843,3 bedroom Crestview Retreat near Domain & Downtown,272064409,Shahram,,78757,30.34656,-97.7312,Entire home/apt,500,2,1,2019-10-22,0.04,1,0,0,
38982545,"Wyndham Austin Resort in Austin, TX",246225955,Michael,,78701,30.27164,-97.74757,Entire home/apt,271,2,13,2021-08-08,0.71,4,22,4,
38983622,Northwest Hills House,186297037,Omid,,78731,30.35887,-97.74606,Private room,69,1,11,2021-07-25,0.49,1,348,9,
38995447,Simple Modern East Austin Apartment!,31103872,Qasim,,78702,30.25749,-97.71093,Entire home/apt,115,1,24,2021-08-30,1.88,1,319,16,
38999175,Comfy Central Home in Hip East Austin,20517472,Lindsey,,78702,30.27393,-97.70365,Entire home/apt,299,2,13,2021-08-03,0.57,1,64,7,
39003974,Centrally located Artsy Charmer,4015593,Tina,,78752,30.32755,-97.68003,Entire home/apt,211,2,4,2021-07-17,0.17,1,166,2,
39005809,Escape to the Lake!,21426926,Corey,,78734,30.38745,-97.96639,Entire home/apt,86,20,3,2021-04-16,0.34,2,230,3,
39005935,The Honeysuckle Rose:Cozy S. Austin Getaway “BB”,11737894,Lacy,,78748,30.16988,-97.8288,Entire home/apt,145,1,132,2021-09-10,9.41,2,148,70,
39006587,Austin's Retro Oasis,298907305,Justin And Deb,,78751,30.30953,-97.71699,Entire home/apt,99,2,96,2021-09-13,4.20,1,34,55,
39007180,"Luxury Downtown E 6th St Apt w Pool, Office & Gym",60085458,An Austin Resident,,78702,30.2634,-97.72465,Entire home/apt,350,2,0,,,2,0,0,
39007825,FRIENDS & FAMILY GETAWAY ❤️ RAINEY ❤️ Location ✨✨✨,259250515,Bon Voyage,,78701,30.26115,-97.7371,Entire home/apt,257,3,80,2021-09-12,3.57,1,84,45,
39019180,"Serene, Single-Story Getaway in North Austin",299003095,Aneka,,78729,30.46318,-97.77959,Entire home/apt,357,3,34,2021-09-07,1.49,1,158,16,
39019542,Brand New House in Central Austin,123876423,Peter,,78705,30.30117,-97.74368,Entire home/apt,1250,2,3,2021-05-31,0.50,1,70,3,
39021743,Bright + Comfy One B/R with Private Entrance,141890005,Robyn,,78745,30.19302,-97.78412,Entire home/apt,122,1,44,2021-09-07,1.88,1,160,21,
39022629,Charming Townhouse,34135594,Christie,,78747,30.14051,-97.79468,Entire home/apt,75,2,1,2019-11-04,0.04,1,0,0,
39023472,Downtown 1BDRM Loft on Congress Ave,99795159,Kyle,,78701,30.2686,-97.74369,Entire home/apt,149,2,0,,,1,0,0,
