id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50791397,WanderJaunt | Moore | Luxe Studio | East Riverside,104309976,WanderJaunt,,78741,30.23588,-97.72446,Entire home/apt,107,1,17,2021-10-17,3.17,132,263,17,
50791422,WanderJaunt | Gaston | Luxe Studio | East Riverside,104309976,WanderJaunt,,78741,30.23416,-97.7254,Entire home/apt,86,1,18,2021-12-04,3.35,132,270,18,
50791440,WanderJaunt | Whitney | Luxe Studio | East Riverside,104309976,WanderJaunt,,78741,30.23568,-97.72382,Entire home/apt,74,1,14,2021-11-01,2.98,132,129,14,
50791458,WanderJaunt | Sylvan | Luxe Studio | East Riverside,104309976,WanderJaunt,,78741,30.23369,-97.72533,Entire home/apt,205,1,13,2021-09-17,2.50,132,218,13,
50792349,Historic DT Bungalow | Sleeps 10 | Walk Everywhere,302142399,Brian,,78703,30.27574,-97.76122,Entire home/apt,308,2,3,2021-11-16,0.66,7,51,3,
50792868,Comfortable 3 Bedroom Near Tesla Gigafactory,392137061,Mohammad,,78724,30.26333,-97.58529,Entire home/apt,199,4,1,2021-10-25,0.61,1,348,1,
50793688,Vintage Oasis Studio With its own Movie Fort,12514892,Anelia,,78741,30.23255,-97.73241,Entire home/apt,71,2,14,2021-12-09,2.82,1,346,14,
50795963,Mid Century Dream | Large Backyard | Group Getaway,410540510,Joanna,,78753,30.38386,-97.66973,Entire home/apt,190,1,32,2021-12-08,6.19,4,336,32,
50797026,Lovely 2-Bedroom Condo with Pool close to downtown Austin and ABIA,250123267,Candice,,78745,30.20987,-97.78479,Entire home/apt,150,1,0,,,1,329,0,
50797400,1 bedroom in a 2bed/1bath home with a vintage vibe,52995915,Stephanie,,78757,30.36606,-97.72161,Private room,55,2,1,2021-07-18,0.20,2,0,1,
50802426,Creative & Cozy | Walkable East Austin Locale,109638288,TurnKey Vacation Rentals,,78702,30.26664,-97.72046,Entire home/apt,216,3,0,,,61,344,0,
50805111,Large East Austin Home for the Entire Group,27491437,Breanne,,78702,30.26699,-97.70919,Entire home/apt,495,2,14,2021-12-05,3.33,1,54,14,
50808276,"Modern 2-bedroom, plus office, with free parking",66803318,Matt,,78721,30.27623,-97.67963,Entire home/apt,175,1,8,2021-11-26,1.71,1,18,8,
50809842,Beautiful stay in hills w/ Queen bed close to city,130540182,M,,78759,30.38608,-97.76517,Entire home/apt,96,2,9,2021-10-07,1.74,2,365,9,
50810054,2 Bedroom East-Side Retreat,75388657,Frances,,78702,30.2765,-97.71289,Entire home/apt,120,3,7,2021-11-27,1.67,1,0,7,
50810340,"Bright, walkable and private home in East ATX",87600748,Jen,,78702,30.26419,-97.7143,Entire home/apt,556,2,5,2021-10-25,1.55,1,113,5,
50811390,"Brand New 5 bd/4.5 bth Home, Walk Downtown & to UT",6661598,Connor,,78702,30.2753,-97.72767,Entire home/apt,657,1,18,2021-12-07,3.51,1,152,18,
50811951,The Little Blue Tiny Home in Trendy East Austin,48990716,Natasha,,78702,30.25727,-97.72263,Entire home/apt,114,2,11,2021-11-28,2.95,1,90,11,
50811997,15 minutes away from airport,331783743,Brian,,78741,30.22115,-97.70339,Private room,100,1,1,2021-10-24,0.61,1,365,1,
50813553,Gorgeous and private master room with en-suite,183611405,Anton,,78732,30.3756,-97.88705,Private room,83,1,27,2021-10-24,5.23,4,350,27,
50816679,Near Lake Travis 25 mi from Austin 2/2 in Lakeway,163258067,Jason,,78734,30.37181,-97.97209,Entire home/apt,115,2,13,2021-12-05,2.53,1,89,13,
50825053,"Comfort, Art and Tech near Downtown & 🛩",57949841,Omar & Gina,,78741,30.21886,-97.72584,Entire home/apt,189,1,10,2021-10-20,2.10,3,3,10,
50827067,Cheerful 3br home w/ screened porch in NW Austin,1748350,Conor,,78729,30.46327,-97.77814,Entire home/apt,236,2,1,2021-12-05,1,1,132,1,
50831694,"🎷Hip Retreat on Riverside 🎶 Pool, Gym & Fast WiFi | 2B2B",243684594,Shirley,,78741,30.23867,-97.73005,Entire home/apt,108,1,17,2021-12-05,3.59,40,364,17,
50832581,Hidden Oasis in the Heart of Austin,29483135,Chris,,78704,30.24373,-97.76369,Entire home/apt,500,2,1,2021-10-25,0.63,1,265,1,
